Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11034853,0,"Monday, November 21, 2011 01:01:38 UTC",33.1762,-115.6135,3.2,2.30,70,"Southern California"
ak,10360520,1,"Sunday, November 20, 2011 23:32:28 UTC",59.6523,-154.5378,3.2,194.10,59,"Southern Alaska"
us,c0006v94,5,"Sunday, November 20, 2011 21:25:40 UTC",5.6169,127.2300,4.7,81.30,30,"Philippine Islands region"
pr,11324005,0,"Sunday, November 20, 2011 21:07:11 UTC",18.2670,-67.7170,2.9,41.70,11,"Mona Passage, Puerto Rico"
hv,60285426,1,"Sunday, November 20, 2011 20:17:21 UTC",19.5442,-155.6185,3.9,12.50,41,"Island of Hawaii, Hawaii"
ak,10360470,1,"Sunday, November 20, 2011 19:59:29 UTC",60.0453,-153.1358,2.6,122.10,13,"Southern Alaska"
us,c0006v7l,9,"Sunday, November 20, 2011 18:00:13 UTC",-3.0233,142.2907,5.0,10.00,35,"near the north coast of New Guinea, Papua New Guinea"
us,c0006v76,C,"Sunday, November 20, 2011 16:31:41 UTC",-2.9637,142.1220,5.7,29.70,84,"near the north coast of New Guinea, Papua New Guinea"
pr,11324004,0,"Sunday, November 20, 2011 15:57:05 UTC",18.9880,-64.5719,3.3,68.10, 7,"Virgin Islands region"
ak,10360431,1,"Sunday, November 20, 2011 15:35:41 UTC",63.3541,-149.8526,3.2,122.80,53,"Central Alaska"
us,2011tma4,3,"Sunday, November 20, 2011 15:04:31 UTC",-6.4996,128.1296,4.6,386.20,12,"Banda Sea"
hv,60285381,1,"Sunday, November 20, 2011 14:42:51 UTC",19.3837,-155.4910,3.0,10.20,70,"Island of Hawaii, Hawaii"
us,c0006v6h,7,"Sunday, November 20, 2011 14:09:32 UTC",-23.0041,-175.4264,5.3,35.00,120,"Tonga region"
pr,11324003,0,"Sunday, November 20, 2011 13:03:58 UTC",19.0289,-65.1110,3.2,21.60,12,"Virgin Islands region"
pr,11324002,0,"Sunday, November 20, 2011 12:44:26 UTC",18.8509,-65.0540,3.4,66.00,11,"Virgin Islands region"
us,c0006v5w,6,"Sunday, November 20, 2011 11:20:35 UTC",38.5505,43.6729,4.4,24.20,22,"eastern Turkey"
us,c0006v5q,5,"Sunday, November 20, 2011 10:23:45 UTC",59.2445,-30.4557,4.8,10.00,29,"Reykjanes Ridge"
ak,10360366,1,"Sunday, November 20, 2011 09:48:37 UTC",60.8843,-152.9197,3.1,160.30,28,"Southern Alaska"
us,c0006v5m,2,"Sunday, November 20, 2011 09:28:37 UTC",59.2929,-30.5457,4.8,9.90,112,"Reykjanes Ridge"
pr,11324001,0,"Sunday, November 20, 2011 09:27:06 UTC",18.7269,-66.8769,3.0,91.00, 7,"Puerto Rico region"
pr,11324000,0,"Sunday, November 20, 2011 09:26:15 UTC",18.5639,-65.0289,2.7,22.00, 5,"Virgin Islands region"
us,c0006v4w,6,"Sunday, November 20, 2011 09:19:21 UTC",59.4184,-30.2010,4.9,10.00,97,"Reykjanes Ridge"
us,c0006v4p,B,"Sunday, November 20, 2011 09:06:25 UTC",54.8915,-157.3934,4.3,33.00,65,"south of Alaska"
us,c0006v4i,7,"Sunday, November 20, 2011 08:38:41 UTC",55.5125,-157.3280,4.2,34.10,39,"Alaska Peninsula"
us,c0006v49,6,"Sunday, November 20, 2011 07:20:10 UTC",26.7417,55.1126,4.3,10.20,29,"southern Iran"
us,c0006v3t,5,"Sunday, November 20, 2011 05:55:43 UTC",3.1315,128.9673,4.7,175.30,24,"north of Halmahera, Indonesia"
us,c0006v33,4,"Sunday, November 20, 2011 02:39:58 UTC",-18.7507,-178.3716,4.2,503.70,23,"Fiji region"
us,2011tmak,1,"Sunday, November 20, 2011 01:26:04 UTC",36.7967,140.4001,4.8,37.90,103,"near the east coast of Honshu, Japan"
us,c0006v1y,A,"Sunday, November 20, 2011 01:23:43 UTC",36.7679,140.4491,5.2,24.70,291,"near the east coast of Honshu, Japan"
us,c0006v1u,5,"Sunday, November 20, 2011 00:40:53 UTC",27.5416,57.1171,4.4,10.20,16,"southern Iran"
us,c0006v0v,B,"Saturday, November 19, 2011 22:05:59 UTC",46.6236,151.4759,5.5,89.60,487,"Kuril Islands"
us,c0006v06,5,"Saturday, November 19, 2011 21:04:20 UTC",81.2095,-2.5038,4.7,9.40,50,"north of Svalbard"
ci,11034469,1,"Saturday, November 19, 2011 20:32:21 UTC",33.2448,-116.2712,3.9,6.10,157,"Southern California"
us,c0006uxz,6,"Saturday, November 19, 2011 19:27:34 UTC",35.3843,140.6975,5.1,6.00,197,"near the east coast of Honshu, Japan"
us,c0006uxe,6,"Saturday, November 19, 2011 19:02:32 UTC",-4.6136,-105.0486,5.1,10.80,250,"central East Pacific Rise"
us,c0006uw1,A,"Saturday, November 19, 2011 18:06:25 UTC",53.0918,-174.0706,5.1,223.50,407,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10360219,1,"Saturday, November 19, 2011 18:04:08 UTC",57.0996,-156.1478,3.3,177.30,24,"Alaska Peninsula"
us,c0006uvv,6,"Saturday, November 19, 2011 17:36:57 UTC",37.8055,141.8352,4.8,56.00,181,"near the east coast of Honshu, Japan"
us,c0006uv0,6,"Saturday, November 19, 2011 15:26:29 UTC",16.5624,-98.4019,4.5,10.70,80,"Guerrero, Mexico"
us,c0006uu2,5,"Saturday, November 19, 2011 13:06:16 UTC",39.1164,141.9915,4.6,36.80,45,"eastern Honshu, Japan"
ak,10360137,1,"Saturday, November 19, 2011 11:29:33 UTC",61.6417,-146.4500,2.9,30.30,55,"Southern Alaska"
pr,11323002,0,"Saturday, November 19, 2011 11:03:13 UTC",18.7169,-63.8779,2.7,36.00, 5,"Virgin Islands region"
us,c0006ut3,5,"Saturday, November 19, 2011 10:40:15 UTC",3.9493,79.0395,4.7,10.00,23,"Laccadive Sea"
us,c0006usf,6,"Saturday, November 19, 2011 08:52:21 UTC",37.4658,141.8240,4.6,44.70,61,"near the east coast of Honshu, Japan"
us,c0006urq,7,"Saturday, November 19, 2011 08:28:09 UTC",43.0440,-103.5432,2.8,4.90,16,"South Dakota"
us,c0006usc,4,"Saturday, November 19, 2011 07:43:02 UTC",23.8828,121.6236,4.3,31.20,13,"Taiwan"
us,c0006uqe,3,"Saturday, November 19, 2011 06:51:39 UTC",-1.5081,-81.4982,4.7,34.50,31,"off the coast of Ecuador"
us,c0006upu,3,"Saturday, November 19, 2011 06:22:37 UTC",-20.2646,-177.3771,5.0,511.10,41,"Fiji region"
nc,71683776,1,"Saturday, November 19, 2011 05:54:01 UTC",38.8090,-122.7992,2.7,2.80,58,"Northern California"
nc,71683771,1,"Saturday, November 19, 2011 05:52:18 UTC",38.8107,-122.7937,2.7,3.20,67,"Northern California"
pr,11322001,0,"Saturday, November 19, 2011 04:52:35 UTC",18.8759,-64.4110,2.9,92.90, 4,"Virgin Islands region"
pr,11323000,0,"Saturday, November 19, 2011 04:49:21 UTC",18.8780,-64.4889,3.4,79.40, 8,"Virgin Islands region"
us,c0006unj,7,"Saturday, November 19, 2011 03:46:49 UTC",19.1008,-102.6638,4.4,101.60,106,"Michoacan, Mexico"
ak,10360059,1,"Saturday, November 19, 2011 03:34:37 UTC",62.9142,-150.4324,2.5,14.20, 5,"Central Alaska"
us,c0006un8,5,"Saturday, November 19, 2011 01:58:12 UTC",-7.4904,128.4424,5.0,152.30,65,"Kepulauan Barat Daya, Indonesia"
uu,11190156,2,"Saturday, November 19, 2011 01:56:52 UTC",38.3503,-113.2803,2.8,3.90,11,"Utah"
us,c0006umw,4,"Saturday, November 19, 2011 01:21:52 UTC",-32.5918,-177.3629,5.1,9.70,52,"south of the Kermadec Islands"
hv,60284976,1,"Saturday, November 19, 2011 01:06:26 UTC",19.1693,-155.6812,2.8,5.70,66,"Island of Hawaii, Hawaii"
ci,11034157,1,"Saturday, November 19, 2011 01:00:49 UTC",32.1657,-115.3320,3.3,31.40,19,"Baja California, Mexico"
ak,10359901,1,"Friday, November 18, 2011 18:51:09 UTC",61.4951,-146.3301,3.2,19.50,60,"Southern Alaska"
us,c0006uaz,7,"Friday, November 18, 2011 17:39:41 UTC",38.8086,43.7572,5.0,10.00,127,"eastern Turkey"
us,c0006ua3,5,"Friday, November 18, 2011 16:46:53 UTC",-7.0243,155.3839,4.9,62.40,70,"Solomon Islands"
ci,15076996,4,"Friday, November 18, 2011 14:14:35 UTC",32.7973,-116.1505,3.2,5.60,104,"Southern California"
us,c0006u86,3,"Friday, November 18, 2011 14:00:10 UTC",52.6308,157.9085,4.5,109.60,15,"Kamchatka Peninsula, Russia"
us,c0006u83,5,"Friday, November 18, 2011 13:55:03 UTC",39.7680,142.3897,4.7,38.30,53,"near the east coast of Honshu, Japan"
uw,11181309,1,"Friday, November 18, 2011 13:09:00 UTC",48.4693,-119.6074,4.6,11.90,18,"Washington"
us,c0006u7c,7,"Friday, November 18, 2011 12:23:50 UTC",-11.0397,113.6579,4.7,14.70,31,"south of Java, Indonesia"
us,c0006u6x,8,"Friday, November 18, 2011 11:56:42 UTC",17.3292,-94.2381,4.5,139.90,100,"Veracruz, Mexico"
nc,71683341,5,"Friday, November 18, 2011 10:59:48 UTC",38.8250,-122.8533,3.0,2.70,82,"Northern California"
us,c0006u60,5,"Friday, November 18, 2011 10:54:19 UTC",-0.2771,124.1852,4.3,81.50,17,"Molucca Sea"
ak,10359789,1,"Friday, November 18, 2011 10:49:29 UTC",64.9656,-148.9373,3.2,13.20,14,"Central Alaska"
ak,10359780,2,"Friday, November 18, 2011 10:46:23 UTC",64.9233,-148.9433,3.4,11.40,16,"Central Alaska"
