Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71888511,3,"Sunday, November 18, 2012 03:41:01 UTC",36.6162,-121.2228,3.4,6.30,59,"Central California"
pr,12323003,0,"Sunday, November 18, 2012 02:38:11 UTC",19.0755,-65.4237,3.2,32.00,12,"Puerto Rico region"
us,c000duih,5,"Sunday, November 18, 2012 02:34:50 UTC",-21.6185,-68.4893,4.2,97.30,23,"Antofagasta, Chile"
nc,71888456,1,"Sunday, November 18, 2012 01:41:35 UTC",40.6842,-123.5322,2.9,25.90,35,"Northern California"
pr,12323002,0,"Sunday, November 18, 2012 01:14:47 UTC",19.0837,-65.4172,3.0,10.00, 6,"Puerto Rico region"
pr,12323001,0,"Sunday, November 18, 2012 01:11:05 UTC",19.0328,-65.4206,3.1,47.00,17,"Puerto Rico region"
pr,12323000,0,"Sunday, November 18, 2012 00:15:42 UTC",18.9864,-65.4432,3.2,13.00, 6,"Puerto Rico region"
us,c000dugf,4,"Saturday, November 17, 2012 22:59:45 UTC",-18.7008,-174.8364,4.8,302.00,37,"Tonga"
us,c000dug2,8,"Saturday, November 17, 2012 22:42:47 UTC",-6.3517,130.0715,4.9,118.50,49,"Banda Sea"
us,c000duf1,5,"Saturday, November 17, 2012 21:19:27 UTC",13.7044,-92.3142,4.4,29.30,44,"offshore Guatemala"
us,c000duev,9,"Saturday, November 17, 2012 21:12:00 UTC",-5.9403,151.9698,4.8,29.90,43,"New Britain region, Papua New Guinea"
us,c000duep,7,"Saturday, November 17, 2012 21:02:55 UTC",-5.8839,151.8674,4.9,57.20,23,"New Britain region, Papua New Guinea"
us,c000dued,6,"Saturday, November 17, 2012 20:44:04 UTC",13.7656,-91.6240,4.5,38.20,84,"offshore Guatemala"
us,c000dubt,8,"Saturday, November 17, 2012 18:43:52 UTC",-37.0202,-94.9667,5.3,10.80,223,"West Chile Rise"
us,c000dub9,B,"Saturday, November 17, 2012 18:12:21 UTC",-37.1596,-94.9680,5.4,10.10,376,"West Chile Rise"
us,c000du9x,7,"Saturday, November 17, 2012 16:37:40 UTC",45.3366,151.4657,4.9,47.40,28,"Kuril Islands"
ak,10601863,1,"Saturday, November 17, 2012 15:45:34 UTC",63.5718,-147.2977,2.9,3.10,38,"Central Alaska"
us,c000du78,4,"Saturday, November 17, 2012 12:22:11 UTC",-4.8535,134.0291,4.6,19.40,37,"near the south coast of Papua, Indonesia"
us,c000du6s,6,"Saturday, November 17, 2012 10:13:48 UTC",13.1918,-92.0067,4.4,35.00,42,"off the coast of Guatemala"
us,c000du6g,6,"Saturday, November 17, 2012 09:09:35 UTC",-18.8897,-68.9931,4.7,115.70,161,"Tarapaca, Chile"
us,c000du6f,5,"Saturday, November 17, 2012 09:06:26 UTC",-22.2351,171.6432,5.1,115.10,89,"southeast of the Loyalty Islands"
ak,10601819,2,"Saturday, November 17, 2012 08:56:39 UTC",56.0188,-152.7403,3.4,8.10,15,"Kodiak Island region, Alaska"
ak,10601803,1,"Saturday, November 17, 2012 07:10:32 UTC",59.8381,-152.8581,2.5,114.90,30,"Southern Alaska"
us,c000du5l,5,"Saturday, November 17, 2012 06:47:44 UTC",13.9738,-92.4835,4.5,34.70,139,"offshore Guatemala"
pr,12322000,0,"Saturday, November 17, 2012 05:47:55 UTC",18.0235,-65.4128,2.7,19.00, 8,"Puerto Rico region"
us,c000du4e,7,"Saturday, November 17, 2012 05:29:45 UTC",-20.2516,-178.4418,5.0,583.80,199,"Fiji region"
