latitude,longitude,depth,magnitude
31.87,-114.953,10,3
12.288,-88.188,62.9,4.5
18.794,-68.872,107,3.4
34.18,-96.662,4.9,3.5
59.079,-154.041,189.8,3.1
19.858,-68.918,82,3.6
22.92,121.416,19,4.3
59.954,-153.169,116.6,3.2
36.603,70.783,193.3,4.3
61.688,-150.356,11.7,3.3
52.171,-170.991,24.9,3.9
18.629,-65.001,37,2.6
58.578,-153.574,76.5,3
2.647,95.686,15.8,4.9
60.758,-151.887,83,3.7
40.314,-124.573,20.2,2.9
62.12,-153.468,12.5,2.6
40.336,-124.812,0.8,4.2
33.591,-115.963,6.7,3
59.585,-152.898,98.7,2.9
18.638,-64.738,74,3.1
16.657,-91.193,10,4.4
19.323,-66.083,57,2.8
50.173,87.378,14.9,4.5
36.119,-89.736,6.4,2.6
35.604,34.665,11.4,4.1
35.816,140.749,42.7,4.2
19.053,-64.959,24,2.7
-23.661,-179.966,525.6,4.6
-2.801,138.767,50.3,4.6
19.732,-64.781,65,3.2
19.532,-67.867,36,2.9
25.919,99.725,8,5.2
0.776,126.02,22.4,4.5
67.699,142.239,14,4.7
19.638,-64.136,107,3.6
-7.19,145.896,193.5,5.7
38.714,71.537,9.5,5.1
59.538,-154.646,162.1,2.5
60.611,-151.774,84.4,2.8
36.462,71.118,242.9,4.5
-10.213,161.289,103.1,4.8
63.439,-151.229,0.2,2.7
-11.651,117.288,35.4,4.7
19.173,-155.619,8.2,2.5
60.435,-140.749,26.1,2.8
-3.529,145.192,9.9,5.3
32.892,50.499,62.4,4.5
31.746,50.856,48.3,4.6
19.092,-65.041,52,2.6
-60.567,-26.852,97.1,5.1
-11.391,165.018,39.7,4.9
19.394,-66.704,32,3.3
33.799,-87.367,3.9,2.7
19.372,-68.817,155,4
18.297,-68.906,15,2.9
-19.864,-66.702,237.3,4.6
13.673,144.886,127.3,4.6
-22.882,-70.369,37.5,4.8
-24.214,-67.017,166.7,4.2
67.575,-166.725,12.1,4.2
67.575,-166.718,6.9,3.6
19.239,-68.28,51,3.2
19.064,-68.679,147,3.9
19.521,-70.065,41.3,4.3
19.366,-70.026,28.7,4.1
60.087,-152.949,58.5,3.4
-22.029,170.172,30.8,4.8
