id	type	parentid, name	parentid	parenttype	maxlat	maxlong	minlat	minlong
02013	C	AK, Aleutians East	AK	S	56.94510651	-158.89060974	53.91608047	-166.22564697
02016	C	AK, Aleutians West	AK	S	57.30437088	179.82501221	51.22336578	-179.22708130
02020	C	AK, Anchorage	AK	S	61.48393631	-148.46000671	60.73379135	-150.42060852
02050	C	AK, Bethel	AK	S	62.29533005	-153.00106812	58.50064087	-173.16783142
02060	C	AK, Bristol Bay	AK	S	58.89494705	-156.31721497	58.60961151	-158.00149536
02068	C	AK, Denali	AK	S	64.36513519	-146.97201538	62.72200394	-153.00134277
02070	C	AK, Dillingham	AK	S	61.00056839	-155.95362854	58.34060287	-161.36872864
02090	C	AK, Fairbanks North Star	AK	S	65.45198059	-143.88479614	64.25763702	-148.66716003
02100	C	AK, Haines	AK	S	59.72962952	-134.32798767	58.12273026	-136.49407959
02110	C	AK, Juneau	AK	S	58.97497177	-133.17643738	57.79507446	-135.21913147
02122	C	AK, Kenai Peninsula	AK	S	61.42815781	-148.56236267	58.64500809	-154.74876404
02130	C	AK, Ketchikan Gateway	AK	S	55.98299408	-130.90690613	55.09013748	-131.96289062
02150	C	AK, Kodiak Island	AK	S	59.00650787	-151.69831848	55.70588303	-156.90316772
02164	C	AK, Lake and Peninsula	AK	S	60.90853882	-153.39318848	55.62887192	-159.90365601
02170	C	AK, Matanuska-Susitna	AK	S	63.48291397	-146.42593384	61.07798386	-153.00511169
02180	C	AK, Nome	AK	S	66.62630463	-159.37968445	62.90291214	-171.96531677
02185	C	AK, North Slope	AK	S	71.42878723	-141.00265503	67.99893951	-166.96266174
02188	C	AK, Northwest Arctic	AK	S	68.30102539	-154.13227844	65.43585968	-165.55557251
02201	C	AK, Prince of Wales-Outer Ketchikan	AK	S	56.40379715	-129.99189758	54.63204575	-134.02697754
02220	C	AK, Sitka	AK	S	58.00138855	-134.43653870	56.14501953	-136.45448303
02232	C	AK, Skagway-Hoonah-Angoon	AK	S	59.79962540	-132.36798096	56.86397171	-138.02857971
02240	C	AK, Southeast Fairbanks	AK	S	65.84007263	-141.00210571	61.90103149	-147.00318909
02261	C	AK, Valdez-Cordova	AK	S	63.22261047	-141.00184631	59.76904678	-148.98020935
02270	C	AK, Wade Hampton	AK	S	63.31692505	-160.19087219	60.91710663	-166.28074646
02280	C	AK, Wrangell-Petersburg	AK	S	57.42438507	-130.99221802	55.64503860	-134.66671753
02282	C	AK, Yakutat	AK	S	60.52137756	-137.49855042	58.78131485	-143.88995361
02290	C	AK, Yukon-Koyukuk	AK	S	68.50730133	-141.00247192	61.94545364	-161.04734802
01001	C	AL, Autauga	AL	S	32.70821381	-86.41117096	32.30757523	-86.92126465
01003	C	AL, Baldwin	AL	S	31.31740570	-87.36743927	30.14656067	-88.03730774
01005	C	AL, Barbour	AL	S	32.14825058	-85.04884338	31.61756516	-85.74843597
01007	C	AL, Bibb	AL	S	33.24692535	-86.87602234	32.83152390	-87.42198944
01009	C	AL, Blount	AL	S	34.26021194	-86.30349731	33.76500702	-86.96334839
01011	C	AL, Bullock	AL	S	32.30534363	-85.41004181	31.88027573	-85.99925995
01013	C	AL, Butler	AL	S	31.96462822	-86.43833923	31.52367020	-86.90893555
01015	C	AL, Calhoun	AL	S	33.96846008	-85.52943420	33.55593109	-86.14577484
01017	C	AL, Chambers	AL	S	33.10903931	-85.12332916	32.72853088	-85.59365082
01019	C	AL, Cherokee	AL	S	34.52627182	-85.39883423	33.94142151	-85.84400940
01021	C	AL, Chilton	AL	S	33.07188034	-86.37132263	32.66011810	-87.01915741
01023	C	AL, Choctaw	AL	S	32.31057358	-87.92970276	31.69788170	-88.47322845
01025	C	AL, Clarke	AL	S	31.99135590	-87.50093079	31.18592262	-88.18074036
01027	C	AL, Clay	AL	S	33.49890518	-85.64112854	33.09025955	-86.17436981
01029	C	AL, Cleburne	AL	S	33.96420288	-85.30443573	33.46922684	-85.88777924
01031	C	AL, Coffee	AL	S	31.61931038	-85.78913879	31.18202209	-86.19636536
01033	C	AL, Colbert	AL	S	34.90424347	-87.41571045	34.56693268	-88.13999176
01035	C	AL, Conecuh	AL	S	31.75276756	-86.66239929	31.18112373	-87.42729187
01037	C	AL, Coosa	AL	S	33.10470200	-85.99984741	32.75343323	-86.52210999
01039	C	AL, Covington	AL	S	31.52851868	-86.18687439	30.99324417	-86.70278931
01041	C	AL, Crenshaw	AL	S	32.05170822	-86.14395142	31.44007111	-86.49996185
01043	C	AL, Cullman	AL	S	34.31380081	-86.45111847	33.85804749	-87.15103912
01045	C	AL, Dale	AL	S	31.62056541	-85.41533661	31.19517899	-85.79158020
01047	C	AL, Dallas	AL	S	32.72911835	-86.80802917	32.04720306	-87.47308350
01049	C	AL, DeKalb	AL	S	34.86037064	-85.51371002	34.19926071	-86.11889648
01051	C	AL, Elmore	AL	S	32.76922607	-85.85262299	32.40646744	-86.41333771
01053	C	AL, Escambia	AL	S	31.26199722	-86.68823242	30.99450684	-87.61607361
01055	C	AL, Etowah	AL	S	34.20075607	-85.73713684	33.84159851	-86.37015533
01057	C	AL, Fayette	AL	S	33.91992950	-87.42369843	33.51956940	-87.95207214
01059	C	AL, Franklin	AL	S	34.58170319	-87.52961731	34.30459976	-88.17362976
01061	C	AL, Geneva	AL	S	31.19984818	-85.48529053	30.99286079	-86.19338989
01063	C	AL, Greene	AL	S	33.15365601	-87.70719147	32.51779556	-88.20716858
01065	C	AL, Hale	AL	S	33.00682449	-87.42013550	32.48068237	-87.87036133
01067	C	AL, Henry	AL	S	31.77386284	-85.04181671	31.30767441	-85.41803741
01069	C	AL, Houston	AL	S	31.31497383	-84.99962616	30.99706459	-85.71107483
01071	C	AL, Jackson	AL	S	34.99109650	-85.58314514	34.46605301	-86.35903168
01073	C	AL, Jefferson	AL	S	33.84323883	-86.51671600	33.24600983	-87.34169769
01075	C	AL, Lamar	AL	S	34.05833435	-87.94631958	33.52398682	-88.27462006
01077	C	AL, Lauderdale	AL	S	35.00802612	-87.21076202	34.73195267	-88.20295715
01079	C	AL, Lawrence	AL	S	34.80466461	-87.10507202	34.29908752	-87.53102112
01081	C	AL, Lee	AL	S	32.74653244	-85.00105286	32.40983963	-85.69695282
01083	C	AL, Limestone	AL	S	34.99902344	-86.78359985	34.55078888	-87.27507019
01085	C	AL, Lowndes	AL	S	32.40504074	-86.39635468	31.96160126	-86.90864563
01087	C	AL, Macon	AL	S	32.59593201	-85.43354034	32.23199081	-86.02301025
01089	C	AL, Madison	AL	S	34.99229431	-86.25658417	34.47563171	-86.79005432
01091	C	AL, Marengo	AL	S	32.54688644	-87.47220612	31.98939133	-88.11772156
01093	C	AL, Marion	AL	S	34.32105255	-87.63432312	33.91472244	-88.20722961
01095	C	AL, Marshall	AL	S	34.60014343	-86.05770874	34.09909821	-86.58193970
01097	C	AL, Mobile	AL	S	31.17330551	-87.92394257	30.14442444	-88.43200684
01099	C	AL, Monroe	AL	S	31.83179474	-86.90589142	31.22726822	-87.78437805
01101	C	AL, Montgomery	AL	S	32.50168991	-85.91857910	31.96506500	-86.49848175
01103	C	AL, Morgan	AL	S	34.68603516	-86.55004120	34.30469513	-87.11010742
01105	C	AL, Perry	AL	S	32.87512589	-87.01775360	32.30728912	-87.52568054
01107	C	AL, Pickens	AL	S	33.53400803	-87.83659363	32.99119949	-88.34043121
01109	C	AL, Pike	AL	S	32.05474854	-85.65766907	31.61641312	-86.19940948
01111	C	AL, Randolph	AL	S	33.50121689	-85.23237610	33.10663605	-85.65394592
01113	C	AL, Russell	AL	S	32.51047516	-84.88824463	32.06170654	-85.43474579
01115	C	AL, St. Clair	AL	S	33.98933029	-86.04388428	33.39098358	-86.57781982
01117	C	AL, Shelby	AL	S	33.54615784	-86.34219360	33.01866531	-87.02684784
01119	C	AL, Sumter	AL	S	32.99586105	-87.84268951	32.30743790	-88.42145538
01121	C	AL, Talladega	AL	S	33.69808578	-85.79456329	33.10294342	-86.50340271
